,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1636538400,1.004,0.9981,1.0,574.66,574.79,1.0,invert_divide,BTC
1,1636542000,1.005,0.9999,1.0,762.63,762.58,0.9999,invert_divide,BTC
2,1636545600,1.008,0.9982,0.9999,1055.99,1055.95,1.0,invert_divide,BTC
3,1636549200,1.0,0.9717,1.0,3776.71,3777.46,1.0,invert_divide,BTC
4,1636552800,1.009,0.9935,1.0,5081.25,5083.33,1.0,invert_divide,BTC
5,1636556400,1.002,0.9983,1.0,1246.99,1247.42,1.0,invert_divide,BTC
6,1636560000,1.003,0.9976,1.0,1885.82,1885.73,1.0,invert_divide,BTC
7,1636563600,1.002,0.9977,1.0,1477.31,1477.36,1.0,invert_divide,BTC
8,1636567200,1.012,0.9975,1.0,2525.92,2525.82,1.0,invert_divide,BTC
9,1636570800,1.02,0.999,1.0,3066.99,3065.88,0.9996,invert_divide,BTC
10,1636574400,1.019,0.9916,0.9996,6695.79,6704.09,1.001,invert_divide,BTC
11,1636578000,1.029,0.9833,1.001,10342.12,10349.81,1.001,invert_divide,BTC
12,1636581600,1.003,0.9823,1.001,2474.24,2475.6,1.001,invert_divide,BTC
13,1636585200,1.004,0.9911,1.001,1611.2,1612.08,1.001,invert_divide,BTC
14,1636588800,1.001,0.9889,1.001,1550.14,1550.66,1.0,invert_divide,BTC
15,1636592400,1.005,0.9945,1.0,1147.64,1148.04,1.0,invert_divide,BTC
16,1636596000,1.004,0.994,1.0,1138.54,1138.66,1.0,invert_divide,BTC
17,1636599600,1.001,0.9949,1.0,1023.78,1024.18,1.0,invert_divide,BTC
18,1636603200,1.003,0.9969,1.0,594.77,594.9,1.0,invert_divide,BTC
19,1636606800,1.001,0.9954,1.0,8049.42,8050.39,1.0,invert_divide,ETH
20,1636610400,1.003,0.9959,1.0,664.76,665.01,1.0,invert_divide,BTC
21,1636614000,1.002,0.9939,1.0,899.42,899.61,1.0,invert_divide,BTC
22,1636617600,1.001,0.9887,1.0,1107.34,1107.63,1.0,invert_divide,BTC
23,1636621200,1.003,0.9948,1.0,12097.37,12101.41,1.0,invert_divide,ETH
24,1636624800,1.006,0.9975,1.0,8023.36,8026.36,1.0,invert_divide,ETH
25,1636628400,1.001,0.9962,1.0,612.82,612.98,1.0,invert_divide,BTC
26,1636632000,1.005,0.9957,1.0,766.1,766.43,1.0,invert_divide,BTC
27,1636635600,1.006,0.9988,1.0,961.42,961.71,1.0,invert_divide,BTC
28,1636639200,1.005,0.9889,1.0,1995.5,1996.67,1.001,invert_divide,BTC
29,1636642800,1.008,0.9987,1.001,1155.28,1155.8,1.0,invert_divide,BTC
30,1636646400,1.003,0.9958,1.0,1297.44,1298.42,1.001,invert_divide,BTC
31,1636650000,1.005,0.9998,1.001,880.21,880.64,1.0,invert_divide,BTC
32,1636653600,1.004,0.998,1.0,770.11,770.52,1.001,invert_divide,BTC
33,1636657200,1.002,0.9946,1.001,646.63,647.1,1.001,invert_divide,BTC
34,1636660800,1.001,1.0,1.0,45528857.06,45533993.8,1.0,direct,
35,1636664400,1.001,0.9962,1.0,577.61,577.94,1.001,invert_divide,BTC
36,1636668000,1.003,0.9966,1.001,506.25,506.62,1.001,invert_divide,BTC
37,1636671600,1.006,1.0,1.001,579.24,579.41,1.0,invert_divide,BTC
38,1636675200,1.002,0.9982,1.0,686.44,686.85,1.001,invert_divide,BTC
39,1636678800,1.004,0.9849,1.001,1630.35,1631.05,1.0,invert_divide,BTC
40,1636682400,1.004,0.9968,0.9998,20263.51,20266.39,1.0,invert_divide,ETH
41,1636686000,1.004,0.998,1.0,11701.91,11704.78,1.0,invert_divide,ETH
42,1636689600,1.001,0.9951,1.0,13245.53,13246.92,1.0,invert_divide,ETH
43,1636693200,1.009,0.9994,1.0,6155.99,6154.13,0.9997,invert_divide,ETH
44,1636696800,1.005,0.9996,1.0,534.37,534.51,1.0,invert_divide,BTC
45,1636700400,1.003,0.9967,1.0,800.97,801.23,1.0,invert_divide,BTC
46,1636704000,1.001,0.9924,1.0,9294.64,9296.86,1.0,invert_divide,ETH
