predictions,Datetime
29855.91016,1/1/2021 1:00
30813.94141,1/1/2021 2:00
34913.00781,1/1/2021 3:00
34285.37109,1/1/2021 4:00
33711.88281,1/1/2021 5:00
35882.12891,1/1/2021 6:00
37742.29688,1/1/2021 7:00
40800.64453,1/1/2021 8:00
40742.32813,1/1/2021 9:00
40733.5,1/1/2021 10:00
41768.19531,1/1/2021 11:00
37518.25391,1/1/2021 12:00
39340.10547,1/1/2021 13:00
39746.69531,1/1/2021 14:00
41837.375,1/1/2021 15:00
39616.91406,1/1/2021 16:00
39390.49219,1/1/2021 17:00
38582.58203,1/1/2021 18:00
39711.15625,1/1/2021 19:00
39205.77734,1/1/2021 20:00
37632.25391,1/1/2021 21:00
37918.80078,1/1/2021 22:00
35382.44922,1/1/2021 23:00
36422.23438,1/2/2021 0:00
34954.41016,1/2/2021 1:00
37716.01172,1/2/2021 2:00
33161.30078,1/2/2021 3:00
35538.92578,1/2/2021 4:00
35476.41016,1/2/2021 5:00
40829.37891,1/2/2021 6:00
32461.54688,1/2/2021 7:00
37573.74609,1/2/2021 8:00
34741.58594,1/2/2021 9:00
38149.21094,1/2/2021 10:00
38262.30078,1/2/2021 11:00
39457.99609,1/2/2021 12:00
38475.72656,1/2/2021 13:00
42686.875,1/2/2021 14:00
37808.71875,1/2/2021 15:00
48152.75391,1/2/2021 16:00
41198.84375,1/2/2021 17:00
47029.76563,1/2/2021 18:00
45912.04297,1/2/2021 19:00
47452.77734,1/2/2021 20:00
46713.91797,1/2/2021 21:00
49555.50391,1/2/2021 22:00
46470.66797,1/2/2021 23:00
51021.39844,1/3/2021 0:00
49329.01563,1/3/2021 1:00
50687.80078,1/3/2021 2:00
54028.51953,1/3/2021 3:00
51133.87891,1/3/2021 4:00
55086.53125,1/3/2021 5:00
51131.61719,1/3/2021 6:00
52311.39063,1/3/2021 7:00
50178.24609,1/3/2021 8:00
52771.78125,1/3/2021 9:00
46219.14063,1/3/2021 10:00
51559.19531,1/3/2021 11:00
44767.0625,1/3/2021 12:00
52180,1/3/2021 13:00
45692.19531,1/3/2021 14:00
52825.625,1/3/2021 15:00
45983.63281,1/3/2021 16:00
50058.75781,1/3/2021 17:00
47861.48047,1/3/2021 18:00
51664.27734,1/3/2021 19:00
49281.70313,1/3/2021 20:00
53602.20313,1/3/2021 21:00
52095.45703,1/3/2021 22:00
54125.20703,1/3/2021 23:00
53132.78516,1/4/2021 0:00
57118.58984,1/4/2021 1:00
52553.68359,1/4/2021 2:00
56602.40625,1/4/2021 3:00
50340.22266,1/4/2021 4:00
57044.12109,1/4/2021 5:00
51558.88281,1/4/2021 6:00
56250.46094,1/4/2021 7:00
53724.32813,1/4/2021 8:00
54970.25,1/4/2021 9:00
55000.16797,1/4/2021 10:00
52236.21094,1/4/2021 11:00
56301.47266,1/4/2021 12:00
47835.3125,1/4/2021 13:00
55581.21094,1/4/2021 14:00
49541.78516,1/4/2021 15:00
54870.96875,1/4/2021 16:00
53129.08984,1/4/2021 17:00
55267.21094,1/4/2021 18:00
54598.21484,1/4/2021 19:00
55032.81641,1/4/2021 20:00
55789.23047,1/4/2021 21:00
54689.30078,1/4/2021 22:00
55054.32813,1/4/2021 23:00
55798.57031,1/5/2021 0:00
54868.25391,1/5/2021 1:00
55214.6875,1/5/2021 2:00
54781.30469,1/5/2021 3:00
55727.46875,1/5/2021 4:00
56546.70703,1/5/2021 5:00
54688.84375,1/5/2021 6:00
57293.22656,1/5/2021 7:00
56692.03906,1/5/2021 8:00
57762.15234,1/5/2021 9:00
56353.04688,1/5/2021 10:00
57951.11328,1/5/2021 11:00
55722.37891,1/5/2021 12:00
56491.93359,1/5/2021 13:00
54006.5625,1/5/2021 14:00
56002.83203,1/5/2021 15:00
53564.08984,1/5/2021 16:00
54340.78125,1/5/2021 17:00
50666.96875,1/5/2021 18:00
53102.49609,1/5/2021 19:00
49823.80078,1/5/2021 20:00
54975.5,1/5/2021 21:00
50080.07813,1/5/2021 22:00
54934.71484,1/5/2021 23:00
49567.9375,1/6/2021 0:00
56034.88672,1/6/2021 1:00
